0,1,2,3,4,5,6,7,8,9
971,1,1,0,2,0,2,2,0,1
0,1130,0,1,0,0,1,3,0,0
4,0,1011,1,2,1,1,12,0,0
2,1,3,997,0,3,0,2,1,1
0,0,0,0,976,0,2,1,0,3
2,0,0,3,0,882,1,1,1,2
2,2,0,0,2,3,949,0,0,0
1,2,3,1,0,1,0,1015,1,4
2,0,2,2,6,1,1,2,949,9
1,0,0,0,5,2,0,1,0,1000
