,Train,Test
Mean Squared Error,3331250199.0135674,3314956913.746225
Mean Aboslute Error,41589.063121268926,41568.85548029088
Mean Aboslute Percentage Error,7.137071733842726,7.147309985659392
R2 score,0.908581517063693,0.9090608101943982
