precision,recall,f1-score,support
0.86,0.86,0.86,1561.0
0.8,0.81,0.8,648.0
0.79,0.78,0.79,571.0
0.99,0.99,0.99,434.0
0.94,0.9,0.92,620.0
0.97,0.96,0.97,174.0
0.89,0.92,0.9,381.0
0.75,0.9,0.82,1580.0
0.87,0.78,0.82,1334.0
0.93,0.81,0.86,401.0
0.87,0.67,0.76,149.0
0.96,0.87,0.91,932.0
0.84,0.87,0.85,2310.0
0.95,0.95,0.95,175.0
0.95,0.96,0.95,1004.0
0.93,0.86,0.9,428.0
0.93,0.91,0.92,372.0
0.88,0.82,0.85,585.0
0.87,0.87,0.87,0.87
0.89,0.87,0.88,13659.0
0.87,0.87,0.87,13659.0
