0,1,2,3,4,5,6,7,8,9
4,14,4,11,2,1,1,2,23,3
5,33,6,9,0,0,3,1,18,2
3,4,62,0,0,0,0,2,1,0
1,3,1,35,5,0,7,0,4,6
0,5,3,14,23,0,7,2,4,2
0,0,2,3,5,1,14,4,1,32
0,1,0,7,1,1,38,0,0,7
0,0,3,0,5,1,6,52,1,1
7,11,0,5,3,0,6,2,38,1
0,2,1,9,1,0,12,4,0,42
